Date	Close	Open	High	Low	Volume	Chg%
Jul 05, 2017	28,051	28,120	28,155	27,845	0.90K	0.03%
Jul 04, 2017	28,043	27,956	28,169	27,956	1.26K	0.33%
Jul 03, 2017	27,952	28,300	28,300	27,925	3.24K	-1.21%
Jun 30, 2017	28,295	28,505	28,505	28,168	8.40K	-0.81%
Jun 29, 2017	28,527	28,522	28,550	28,380	7.94K	0.15%
Jun 28, 2017	28,485	28,569	28,660	28,461	7.73K	0.01%
Jun 27, 2017	28,483	28,411	28,572	28,401	7.63K	0.20%
Jun 26, 2017	28,426	28,302	28,440	28,264	4.61K	-0.77%
Jun 23, 2017	28,648	28,596	28,782	28,596	7.10K	0.32%
Jun 22, 2017	28,557	28,530	28,670	28,519	7.48K	0.22%
Jun 21, 2017	28,495	28,539	28,575	28,403	9.08K	0.07%
Jun 20, 2017	28,475	28,470	28,530	28,420	7.69K	0.01%
Jun 19, 2017	28,473	28,593	28,593	28,460	7.55K	-0.50%
Jun 16, 2017	28,616	28,697	28,718	28,600	6.78K	-0.24%
Jun 15, 2017	28,686	28,890	28,890	28,640	11.43K	-0.90%
Jun 14, 2017	28,946	28,890	29,025	28,802	9.37K	0.29%
Jun 13, 2017	28,862	28,907	28,916	28,711	7.71K	-0.19%
Jun 12, 2017	28,917	28,905	28,971	28,851	7.77K	-0.07%
Jun 09, 2017	28,938	29,001	29,009	28,836	8.98K	-0.38%
Jun 08, 2017	29,049	29,319	29,345	28,951	12.95K	-1.11%
Jun 07, 2017	29,376	29,439	29,485	29,310	9.82K	-0.36%
Jun 06, 2017	29,481	29,220	29,499	29,216	11.14K	1.27%
Jun 05, 2017	29,111	29,045	29,180	29,045	0.71K	0.56%
Jun 02, 2017	28,949	28,685	29,011	28,680	0.31K	0.70%
Jun 01, 2017	28,749	28,877	28,877	28,712	1.77K	-0.54%
May 31, 2017	28,905	28,683	28,950	28,628	7.83K	0.70%
May 30, 2017	28,704	28,921	28,960	28,680	9.88K	-0.59%
May 29, 2017	28,874	28,843	28,928	28,807	4.56K	0.09%
May 26, 2017	28,847	28,694	28,866	28,674	9.52K	0.73%
May 25, 2017	28,638	28,769	28,770	28,600	9.93K	-0.28%
May 24, 2017	28,719	28,770	28,770	28,650	8.69K	-0.31%
May 23, 2017	28,808	28,804	28,930	28,740	12.50K	0.09%
May 22, 2017	28,783	28,590	28,799	28,568	9.31K	0.52%
May 19, 2017	28,634	28,660	28,779	28,531	13.16K	-0.26%
May 18, 2017	28,710	28,666	28,980	28,551	23.80K	0.34%
May 17, 2017	28,614	28,170	28,638	28,170	15.92K	1.80%
May 16, 2017	28,109	28,025	28,159	28,025	7.73K	0.36%
May 15, 2017	28,008	28,049	28,157	27,996	8.76K	-0.04%
May 12, 2017	28,019	28,088	28,195	27,985	9.48K	-0.01%
May 11, 2017	28,022	27,995	28,100	27,945	9.72K	0.05%
May 10, 2017	28,007	28,060	28,146	27,981	9.28K	0.09%
May 09, 2017	27,981	28,125	28,192	27,947	10.10K	-0.49%
May 08, 2017	28,119	28,145	28,255	28,097	7.85K	-0.23%
May 05, 2017	28,184	28,136	28,382	28,135	0.06K	0.44%
May 04, 2017	28,060	28,400	28,482	28,025	0.08K	-1.79%
May 03, 2017	28,571	28,630	28,640	28,459	0.09K	0.00%
May 02, 2017	28,571	28,664	28,680	28,530	0.49K	-0.29%
May 01, 2017	28,654	28,834	28,868	28,600	1.64K	-0.76%
Apr 28, 2017	28,872	28,843	28,925	28,800	6.44K	0.31%
Apr 27, 2017	28,784	28,805	28,848	28,720	7.61K	0.09%
Apr 26, 2017	28,757	28,800	28,837	28,671	9.06K	-0.24%
Apr 25, 2017	28,827	29,090	29,090	28,802	9.72K	-1.03%
Apr 24, 2017	29,128	29,290	29,290	28,935	12.03K	-1.03%
Apr 21, 2017	29,432	29,282	29,460	29,240	8.98K	0.42%
Apr 20, 2017	29,308	29,250	29,350	29,220	9.34K	-0.02%
Apr 19, 2017	29,313	29,425	29,425	29,200	10.30K	-0.69%
Apr 18, 2017	29,518	29,370	29,540	29,227	13.29K	0.43%
Apr 17, 2017	29,392	29,389	29,433	29,325	8.04K	0.12%
Apr 13, 2017	29,358	29,270	29,393	29,238	9.67K	0.58%
Apr 12, 2017	29,189	29,150	29,265	29,132	9.96K	0.14%
Apr 11, 2017	29,149	28,750	29,183	28,725	13.44K	1.57%
Apr 10, 2017	28,699	28,651	28,765	28,560	7.97K	0.17%
Apr 07, 2017	28,650	28,750	28,989	28,607	13.73K	-0.16%
Apr 06, 2017	28,697	28,878	28,991	28,675	8.81K	0.28%
Apr 05, 2017	28,617	28,803	29,019	28,535	0.33K	-1.18%
Apr 04, 2017	28,960	28,975	29,064	28,878	0.09K	0.84%
Apr 03, 2017	28,720	28,607	28,790	28,580	1.45K	0.38%
Mar 31, 2017	28,612	28,511	28,688	28,480	6.93K	0.19%
Mar 30, 2017	28,559	28,716	28,764	28,525	8.22K	-0.71%
